Dataset,Dataset_Size,Model,labellingType,NumberOfTopic,Computation_Time,Acc_classesReport,F1_ScoreScore,Precision_ScoreScore,Recall_ScoreScore,Accuracy_ScoreScore
cybertweets,14414,BERTopic,ddos,150,47.44576478004456,"[[8.89361702e-01 6.20178042e-01 7.30769231e-01 3.37000000e+02]
 [9.33609959e-01 9.85761227e-01 9.58977091e-01 1.82600000e+03]
 [9.28802589e-01 9.28802589e-01 9.28802589e-01 9.28802589e-01]
 [9.11485830e-01 8.02969634e-01 8.44873161e-01 2.16300000e+03]
 [9.26715986e-01 9.28802589e-01 9.23421821e-01 2.16300000e+03]]",0.9247238667521788,0.9285948412063398,0.9301895515487748,0.9246417013407304
cybertweets,14414,BERTopic,leak,20,49.19696521759033,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.40000000e+01]
 [9.88904300e-01 1.00000000e+00 9.94421199e-01 2.13900000e+03]
 [9.88904300e-01 9.88904300e-01 9.88904300e-01 9.88904300e-01]
 [4.94452150e-01 5.00000000e-01 4.97210600e-01 2.16300000e+03]
 [9.77931714e-01 9.88904300e-01 9.83387400e-01 2.16300000e+03]]",0.9833873997257024,0.977931714,0.9889042995839112,0.9889042995839112
cybertweets,14414,BERTopic,leak,30,46.18318939208984,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.40000000e+01]
 [9.88904300e-01 1.00000000e+00 9.94421199e-01 2.13900000e+03]
 [9.88904300e-01 9.88904300e-01 9.88904300e-01 9.88904300e-01]
 [4.94452150e-01 5.00000000e-01 4.97210600e-01 2.16300000e+03]
 [9.77931714e-01 9.88904300e-01 9.83387400e-01 2.16300000e+03]]",0.9833873997257024,0.977931714,0.9889042995839112,0.9912159038372632
cybertweets,14414,BERTopic,leak,40,50.15261363983154,"[[8.00000000e-01 3.33333333e-01 4.70588235e-01 2.40000000e+01]
 [9.92568509e-01 9.99064984e-01 9.95806151e-01 2.13900000e+03]
 [9.91678225e-01 9.91678225e-01 9.91678225e-01 9.91678225e-01]
 [8.96284255e-01 6.66199158e-01 7.33197193e-01 2.16300000e+03]
 [9.90431827e-01 9.91678225e-01 9.89978490e-01 2.16300000e+03]]",0.9892348644256808,0.9897295659120576,0.9912159038372632,0.9889042995839112
cybertweets,14414,BERTopic,leak,50,47.90681838989258,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.40000000e+01]
 [9.88904300e-01 1.00000000e+00 9.94421199e-01 2.13900000e+03]
 [9.88904300e-01 9.88904300e-01 9.88904300e-01 9.88904300e-01]
 [4.94452150e-01 5.00000000e-01 4.97210600e-01 2.16300000e+03]
 [9.77931714e-01 9.88904300e-01 9.83387400e-01 2.16300000e+03]]",0.9833873997257024,0.977931714,0.9889042995839112,0.9889042995839112
cybertweets,14414,BERTopic,leak,60,49.240734815597534,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.40000000e+01]
 [9.88904300e-01 1.00000000e+00 9.94421199e-01 2.13900000e+03]
 [9.88904300e-01 9.88904300e-01 9.88904300e-01 9.88904300e-01]
 [4.94452150e-01 5.00000000e-01 4.97210600e-01 2.16300000e+03]
 [9.77931714e-01 9.88904300e-01 9.83387400e-01 2.16300000e+03]]",0.9833873997257024,0.977931714,0.9889042995839112,0.9889042995839112
cybertweets,14414,BERTopic,leak,70,50.10237145423889,"[[1.00000000e+00 2.08333333e-01 3.44827586e-01 2.40000000e+01]
 [9.91195551e-01 1.00000000e+00 9.95578310e-01 2.13900000e+03]
 [9.91215904e-01 9.91215904e-01 9.91215904e-01 9.91215904e-01]
 [9.95597776e-01 6.04166667e-01 6.70202948e-01 2.16300000e+03]
 [9.91293243e-01 9.91215904e-01 9.88357775e-01 2.16300000e+03]]",0.987472804,0.990839238,0.9907535829865928,0.9916782246879334
cybertweets,14414,BERTopic,leak,80,50.46699666976929,"[[1.00000000e+00 3.33333333e-01 5.00000000e-01 2.40000000e+01]
 [9.92575406e-01 1.00000000e+00 9.96273871e-01 2.13900000e+03]
 [9.92602866e-01 9.92602866e-01 9.92602866e-01 9.92602866e-01]
 [9.96287703e-01 6.66666667e-01 7.48136935e-01 2.16300000e+03]
 [9.92657787e-01 9.92602866e-01 9.90767364e-01 2.16300000e+03]]",0.9900010880486578,0.9922025171183086,0.9921405455386038,0.9916782246879334
cybertweets,14414,BERTopic,leak,90,49.78066182136536,"[[1.00000000e+00 2.50000000e-01 4.00000000e-01 2.40000000e+01]
 [9.91655076e-01 1.00000000e+00 9.95810056e-01 2.13900000e+03]
 [9.91678225e-01 9.91678225e-01 9.91678225e-01 9.91678225e-01]
 [9.95827538e-01 6.25000000e-01 6.97905028e-01 2.16300000e+03]
 [9.91747669e-01 9.91678225e-01 9.89199126e-01 2.16300000e+03]]",0.9891991259811403,0.9917476692663372,0.9916782246879334,0.9926028663892742
cybertweets,14414,BERTopic,leak,100,50.34485173225403,"[[5.00000000e-01 2.50000000e-01 3.33333333e-01 2.40000000e+01]
 [9.91631799e-01 9.97194951e-01 9.94405594e-01 2.13900000e+03]
 [9.88904300e-01 9.88904300e-01 9.88904300e-01 9.88904300e-01]
 [7.45815900e-01 6.23597475e-01 6.63869464e-01 2.16300000e+03]
 [9.86176800e-01 9.88904300e-01 9.87070535e-01 2.16300000e+03]]",0.9891991259811403,0.9917476692663372,0.9916782246879334,0.9930651872399444
